        0:0         TID   1 CPU  23(1) created
        0:0         TID   1 CPU  23(1) created
        0:0         TID   1 CPU  23(1) created
fiosExecucao =1 Intervalo=99
: tempo -> 71679.5 usecs
        0:0         TID   1 CPU  23(1) created
        0:0         TID   1 CPU  23(1) created
        0:0         TID   1 CPU  23(1) created
       80:1465569475940 TID   1 sleeping on 'cond var'
       80:1465569475940 TID   1 CPU  23(1) preempted
       80:1465569475940 TID   1 CPU  23(1) restarted on the same CPU
       80:1465569475940 TID   1 sleeping on 'cond var'
       80:1465569475940 TID   1 CPU  23(1) preempted
       80:1465569475940 TID   1 CPU  23(1) restarted on the same CPU
       80:1465569475940 TID   1 sleeping on 'shuttle'
       80:1465569475940 TID   1 CPU  23(1) preempted
       80:1465569475940 TID   1 CPU  23(1) restarted on the same CPU
       80:1465569475940 TID   1 sleeping on 'shuttle'
       80:1465569475940 TID   1 CPU  23(1) preempted
       80:1465569475940 TID   1 CPU  23(1) restarted on the same CPU

